Day,Shift_U
3/27/2016,-95.5723013
3/28/2016,-104.1517356
3/29/2016,-103.8820677
3/30/2016,-106.1293002
3/31/2016,-106.3490296
4/1/2016,-108.4464466
4/2/2016,-107.0981071
4/3/2016,-106.2791157
4/4/2016,-108.0169755
4/5/2016,-106.4389189
4/6/2016,-111.4327689
4/7/2016,-102.1641833
4/8/2016,-107.7872584
4/9/2016,-106.2791157
4/10/2016,-101.8545646
4/11/2016,-109.8347369
4/12/2016,-109.1156225
4/13/2016,-104.9008131
4/14/2016,-101.7946384
4/15/2016,-108.5862744
4/16/2016,-109.5151305
4/17/2016,-107.4876274
4/18/2016,-107.1180825
4/19/2016,-110.5139005
4/20/2016,-107.7972461
4/21/2016,-105.1904564
4/22/2016,-106.3989681
4/23/2016,-110.663716
4/24/2016,-112.5214282
4/25/2016,-107.2978611
4/26/2016,-107.9570493
4/27/2016,-105.3302842
4/28/2016,-109.3952781
4/29/2016,-106.5387959
4/30/2016,-112.4015758
5/1/2016,-106.8983531
5/2/2016,-115.457812
5/3/2016,-105.4301612
5/4/2016,-107.3877504
5/5/2016,-109.9545893
5/6/2016,-108.8559423
5/7/2016,-110.663716
5/8/2016,-112.4914651
5/9/2016,-110.6337529
5/10/2016,-107.0481686
5/11/2016,-113.360395
5/12/2016,-112.8510223
5/13/2016,-116.3766804
5/14/2016,-112.2817234
5/15/2016,-112.3216742
5/16/2016,-110.9134085
5/17/2016,-105.569989
5/18/2016,-112.0919571
5/19/2016,-110.0045278
5/20/2016,-117.7150322
5/21/2016,-111.7323999
5/22/2016,-119.3330396
5/24/2016,-114.9883901
5/25/2016,-113.460272
5/26/2016,-111.3029288
5/27/2016,-110.3141465
5/28/2016,-112.361625
5/29/2016,-108.5363359
5/30/2016,-110.5438636
5/31/2016,-108.3365819
6/1/2016,-109.6849214
6/2/2016,-107.0182055
6/3/2016,-114.7386976
6/4/2016,-113.3004688
6/5/2016,-114.958427
6/6/2016,-114.4490543
6/7/2016,-108.1967541
6/8/2016,-111.9021908
6/9/2016,-104.8308992
6/10/2016,-106.369005
6/11/2016,-109.2554503
6/12/2016,-106.9283162
6/13/2016,-104.8608623
6/14/2016,-98.2689803
6/15/2016,-103.6223875
6/16/2016,-101.8945154
6/17/2016,-102.4837897
6/18/2016,-103.5025351
6/19/2016,-106.8484146
6/20/2016,-106.2591403
6/21/2016,-104.1217725
6/22/2016,-98.8982054
6/23/2016,-105.4301612
6/24/2016,-102.9032731
6/25/2016,-105.5300382
6/26/2016,-106.2491526
6/27/2016,-105.5300382
6/28/2016,-105.5200505
6/29/2016,-110.663716
6/30/2016,-107.6074798
7/1/2016,-107.2179595
7/2/2016,-105.7397799
7/3/2016,-110.2841834
7/4/2016,-107.0781317
7/5/2016,-112.7311699
7/6/2016,-113.0707517
7/7/2016,-108.6362129
7/8/2016,-107.367775
7/9/2016,-106.169251
7/10/2016,-108.4564343
7/11/2016,-107.8371969
7/12/2016,-111.0132855
7/13/2016,-109.4352289
7/14/2016,-106.0493986
7/15/2016,-109.0556963
7/16/2016,-103.0031501
7/17/2016,-112.960887
7/18/2016,-112.9908501
7/19/2016,-111.5825844
7/20/2016,-106.7485376
7/21/2016,-109.5550813
7/22/2016,-106.3190665
7/23/2016,-107.667406
7/24/2016,-108.666176
7/25/2016,-108.6262252
7/26/2016,-105.4301612
7/27/2016,-106.7984761
7/28/2016,-107.1879964
7/29/2016,-109.4851674
7/30/2016,-109.9945401
7/31/2016,-112.2417726
8/1/2016,-105.9295462
8/2/2016,-107.1180825
8/3/2016,-107.1380579
8/4/2016,-110.0344909
8/5/2016,-109.664946
8/6/2016,-106.8084638
8/7/2016,-106.2791157
8/8/2016,-107.9370739
8/9/2016,-109.0157455
8/10/2016,-104.7609853
8/11/2016,-108.8159915
8/12/2016,-107.5076028
8/13/2016,-111.8222892
8/14/2016,-108.6462006
8/15/2016,-110.6737037
8/16/2016,-109.2055118
8/17/2016,-110.4240112
8/18/2016,-110.164331
8/19/2016,-110.9533593
8/20/2016,-111.6125475
8/21/2016,-110.5938021
8/22/2016,-109.3153765
8/23/2016,-110.8534823
8/24/2016,-110.5938021
8/25/2016,-109.6749337
8/26/2016,-110.3540973
8/27/2016,-114.0395586
8/28/2016,-108.9757947
8/29/2016,-110.6737037
8/30/2016,-111.362855
8/31/2016,-109.9046508
9/1/2016,-112.7511453
9/2/2016,-111.0032978
9/3/2016,-111.0232732
9/4/2016,-111.4028058
9/5/2016,-109.0357209
9/6/2016,-110.4739497
9/7/2016,-104.5612313
9/8/2016,-109.2154995
9/9/2016,-109.6849214
9/10/2016,-113.8497923
9/11/2016,-110.5938021
9/12/2016,-114.1993618
9/13/2016,-106.8584023
9/14/2016,-107.3378119
9/15/2016,-108.6262252
9/16/2016,-109.2454626
9/17/2016,-113.4502843
9/18/2016,-110.2042818
9/19/2016,-108.5862744
9/20/2016,-109.8946631
9/21/2016,-112.7711207
9/22/2016,-114.7187222
9/23/2016,-111.562609
9/24/2016,-113.360395
9/25/2016,-112.6912191
9/26/2016,-112.9508993
9/27/2016,-111.8822154
9/28/2016,-113.3404196
9/29/2016,-110.2841834
9/30/2016,-112.1518833
10/1/2016,-111.262978
