Day,Shift_U
5/20/2016,-28.9044038
5/21/2016,-22.9217715
5/22/2016,-30.5224112
5/24/2016,-26.1777617
5/25/2016,-24.6496436
5/26/2016,-22.4923004
5/27/2016,-21.5035181
5/28/2016,-23.5509966
5/29/2016,-19.7257075
5/30/2016,-21.7332352
5/31/2016,-19.5259535
6/1/2016,-20.874293
6/2/2016,-18.2075771
6/3/2016,-25.9280692
6/4/2016,-24.4898404
6/5/2016,-26.1477986
6/6/2016,-25.6384259
6/7/2016,-19.3861257
6/8/2016,-23.0915624
6/9/2016,-16.0202708
6/10/2016,-17.5583766
6/11/2016,-20.4448219
6/12/2016,-18.1176878
6/13/2016,-16.0502339
6/14/2016,-9.4583519
6/15/2016,-14.8117591
6/16/2016,-13.083887
6/17/2016,-13.6731613
6/18/2016,-14.6919067
6/19/2016,-18.0377862
6/20/2016,-17.4485119
6/21/2016,-15.3111441
6/22/2016,-10.087577
6/23/2016,-16.6195328
6/24/2016,-14.0926447
6/25/2016,-16.7194098
6/26/2016,-17.4385242
6/27/2016,-16.7194098
6/28/2016,-16.7094221
6/29/2016,-21.8530876
6/30/2016,-18.7968514
7/1/2016,-18.4073311
7/2/2016,-16.9291515
7/3/2016,-21.473555
7/4/2016,-18.2675033
7/5/2016,-23.9205415
7/6/2016,-24.2601233
7/7/2016,-19.8255845
7/8/2016,-18.5571466
7/9/2016,-17.3586226
7/10/2016,-19.6458059
7/11/2016,-19.0265685
7/12/2016,-22.2026571
7/13/2016,-20.6246005
7/14/2016,-17.2387702
7/15/2016,-20.2450679
7/16/2016,-14.1925217
7/17/2016,-24.1502586
7/18/2016,-24.1802217
7/19/2016,-22.771956
7/20/2016,-17.9379092
7/21/2016,-20.7444529
7/22/2016,-17.5084381
7/23/2016,-18.8567776
7/24/2016,-19.8555476
7/25/2016,-19.8155968
7/26/2016,-16.6195328
7/27/2016,-17.9878477
7/28/2016,-18.377368
7/29/2016,-20.674539
7/30/2016,-21.1839117
7/31/2016,-23.4311442
8/1/2016,-17.1189178
8/2/2016,-18.3074541
8/3/2016,-18.3274295
8/4/2016,-21.2238625
8/5/2016,-20.8543176
8/6/2016,-17.9978354
8/7/2016,-17.4684873
8/8/2016,-19.1264455
8/9/2016,-20.2051171
8/10/2016,-15.9503569
8/11/2016,-20.0053631
8/12/2016,-18.6969744
8/13/2016,-23.0116608
8/14/2016,-19.8355722
8/15/2016,-21.8630753
8/16/2016,-20.3948834
8/17/2016,-21.6133828
8/18/2016,-21.3537026
8/19/2016,-22.1427309
8/20/2016,-22.8019191
8/21/2016,-21.7831737
8/22/2016,-20.5047481
8/23/2016,-22.0428539
8/24/2016,-21.7831737
8/25/2016,-20.8643053
8/26/2016,-21.5434689
8/27/2016,-25.2289302
8/28/2016,-20.1651663
8/29/2016,-21.8630753
8/30/2016,-22.5522266
8/31/2016,-21.0940224
9/1/2016,-23.9405169
9/2/2016,-22.1926694
9/3/2016,-22.2126448
9/4/2016,-22.5921774
9/5/2016,-20.2250925
9/6/2016,-21.6633213
9/7/2016,-15.7506029
9/8/2016,-20.4048711
9/9/2016,-20.874293
9/10/2016,-25.0391639
9/11/2016,-21.7831737
9/12/2016,-25.3887334
9/13/2016,-18.0477739
9/14/2016,-18.5271835
9/15/2016,-19.8155968
9/16/2016,-20.4348342
9/17/2016,-24.6396559
9/18/2016,-21.3936534
9/19/2016,-19.775646
9/20/2016,-21.0840347
9/21/2016,-23.9604923
9/22/2016,-25.9080938
9/23/2016,-22.7519806
9/24/2016,-24.5497666
9/25/2016,-23.8805907
9/26/2016,-24.1402709
9/27/2016,-23.071587
9/28/2016,-24.5297912
9/29/2016,-21.473555
9/30/2016,-23.3412549
10/1/2016,-22.4523496
10/2/2016,-20.6345882
10/3/2016,-23.5509966
10/4/2016,-19.7656583
10/5/2016,-22.1127678
10/6/2016,-24.2301602
10/7/2016,-24.6196805
10/8/2016,-23.5609843
10/9/2016,-21.8630753
10/10/2016,-20.2550556
10/11/2016,-23.2214025
10/12/2016,-21.0340962
10/13/2016,-21.7332352
10/14/2016,-21.9829277
10/15/2016,-22.3125218
10/16/2016,-22.1227555
10/17/2016,-20.7244775
10/18/2016,-25.5485366
10/19/2016,-24.4798527
10/20/2016,-23.471095
10/21/2016,-23.9904554
10/22/2016,-25.1190655
10/23/2016,-23.97048
10/24/2016,-25.7183275
10/25/2016,-24.9392869
10/26/2016,-26.8769007
10/27/2016,-28.5148835
10/28/2016,-25.3288072
10/29/2016,-24.7195575
11/4/2016,-28.0454616
11/5/2016,-27.0966301
11/6/2016,-27.9955231
11/7/2016,-27.5960151
11/8/2016,-24.8793607
11/9/2016,-22.2326202
11/10/2016,-26.8169745
11/11/2016,-27.1965071
11/12/2016,-24.9592623
11/13/2016,-27.8357199
11/14/2016,-23.9005661
11/15/2016,-24.9792377
11/16/2016,-27.6559413
11/17/2016,-30.8120545
11/18/2016,-26.4973681
11/19/2016,-25.7482906
11/21/2016,-27.8556953
11/22/2016,-28.0154985
11/23/2016,-30.8220422
11/24/2016,-29.3538503
11/25/2016,-26.8769007
11/26/2016,-30.5124235
11/27/2016,-31.6909721
11/28/2016,-27.7158675
11/29/2016,-29.3138995
11/30/2016,-28.3351049
12/1/2016,-28.8844284
12/2/2016,-32.260271
12/3/2016,-25.0891024
12/4/2016,-26.3475526
12/5/2016,-24.4498896
12/6/2016,-23.9904554
12/7/2016,-23.5809597
12/8/2016,-28.9143915
12/9/2016,-29.9131615
12/10/2016,-30.8919561
12/11/2016,-29.1141455
12/12/2016,-31.8807384
12/13/2016,-27.3762857
12/14/2016,-31.1716117
12/15/2016,-28.5148835
12/16/2016,-28.165314
12/17/2016,-27.3063718
12/18/2016,-26.7170975
12/19/2016,-27.2164825
12/20/2016,-21.5634443
12/21/2016,-27.1066178
12/22/2016,-28.8944161
12/23/2016,-27.1465686
12/24/2016,-28.1852894
12/25/2016,-26.5173435
12/26/2016,-22.1826817
12/27/2016,-29.3438626
12/28/2016,-29.0242562
12/29/2016,-27.566052
12/30/2016,-29.6235182
12/31/2016,-28.4749327
1/1/2017,-31.4812304
1/2/2017,-25.3787457
1/3/2017,-28.265191
1/4/2017,-28.0554493
1/5/2017,-31.0217962
1/6/2017,-29.4437396
1/7/2017,-25.8281922
1/8/2017,-28.664699
1/9/2017,-29.7233952
1/10/2017,-27.266421
1/11/2017,-34.1179832
1/12/2017,-29.0841824
1/13/2017,-27.2264702
1/14/2017,-31.5012058
1/15/2017,-31.8407876
1/16/2017,-31.2115625
1/17/2017,-31.8008368
1/18/2017,-31.5711197
1/19/2017,-30.1428786
1/20/2017,-28.3351049
1/21/2017,-27.1265932
1/22/2017,-32.6298159
1/23/2017,-36.8046745
1/24/2017,-32.3701357
1/25/2017,-28.365068
1/26/2017,-34.6972698
1/27/2017,-30.4225342
1/28/2017,-33.7284629
1/29/2017,-28.3450926
1/30/2017,-33.4987458
1/31/2017,-30.5823374
2/1/2017,-30.6123005
2/2/2017,-29.8032968
2/3/2017,-34.6073805
2/4/2017,-36.5350066
2/5/2017,-31.2215502
2/6/2017,-34.6473313
2/7/2017,-37.6436413
2/8/2017,-36.4451173
2/9/2017,-36.1754494
2/10/2017,-26.7270852
2/11/2017,-32.6098405
2/12/2017,-36.6948098
2/13/2017,-36.2853141
2/14/2017,-33.0393116
2/15/2017,-32.0705047
2/16/2017,-23.9804677
2/17/2017,-34.7671837
2/18/2017,-37.2241579
2/19/2017,-38.3327926
2/20/2017,-30.1828294
2/21/2017,-33.1491763
2/22/2017,-36.3352526
2/23/2017,-40.1106032
2/24/2017,-42.1181309
2/25/2017,-42.1181309
2/26/2017,-34.0280939
2/27/2017,-41.349078
2/28/2017,-36.2653387
3/1/2017,-37.8633707
3/3/2017,-37.1442563
3/4/2017,-36.4950558
3/6/2017,-39.0618947
3/7/2017,-37.5937028
3/8/2017,-40.3902588
3/9/2017,-40.3602957
3/10/2017,-37.7734814
3/11/2017,-36.554982
3/12/2017,-34.2977618
3/13/2017,-36.1055355
3/14/2017,-36.5749574
3/15/2017,-39.5812551
3/16/2017,-36.1654617
3/17/2017,-35.6860521
3/18/2017,-40.0207139
3/19/2017,-31.96064
3/20/2017,-23.8506276
3/21/2017,-39.3914888
3/22/2017,-39.9607877
3/23/2017,-39.0718824
3/24/2017,-37.553752
3/25/2017,-37.9932108
3/26/2017,-36.5150312
3/27/2017,-39.1817471
3/28/2017,-33.5786474
3/29/2017,-40.5101112
3/30/2017,-43.0769501
3/31/2017,-43.2267656
4/1/2017,-35.2266179
4/2/2017,-39.1018455
4/3/2017,-41.9783031
4/4/2017,-41.6886598
4/5/2017,-42.1181309
4/6/2017,-35.4463473
4/7/2017,-37.3140472
4/8/2017,-42.747356
4/9/2017,-38.153014
4/10/2017,-36.0855601
4/11/2017,-41.2092502
4/12/2017,-40.4002465
4/13/2017,-44.3753511
4/15/2017,-37.054367
4/16/2017,-39.9308246
4/17/2017,-39.9008615
4/18/2017,-42.4577127
4/19/2017,-37.6236659
4/20/2017,-41.94834
4/21/2017,-42.3078972
4/22/2017,-36.8446253
4/23/2017,-40.4102342
